63349547,43955160,3169314,63428872
124672786,46423329,60063431,76633744
19057596,45552962,44323658,51712150
55179787,17273098,82666767,61977868
36447684,-12146527,44222472,92122825
31687840,38218193,31184342,59556473
108217967,21165647,40631560,93624114
85522005,61245145,32492171,62511176
145316544,46175863,57991245,95452847
83168854,37508480,41562113,51301659
94287419,74650536,33731153,83443002
115373600,61467775,41766918,83310840
28017128,38996469,74390614,59140921
84147334,34226985,27473509,69650495
64303655,5817932,49711502,55977569
84620843,43456585,82208994,61694108
914979,60388950,43042980,78110295
22476094,7835352,49974815,80360748
65810139,38754299,55758483,59374807
77175429,45596152,24973002,53809645
101749250,50511320,44129256,56367581
74215682,30178101,41373185,49867738
99373055,46021418,46125931,54429054
138968628,44149380,51050868,90971724
119810083,44163682,45055786,77793987
80012898,23421679,78074635,72986732
107513437,34910104,48962739,70843952
113864852,47166999,52165861,61735688
71825993,10559169,85616807,85204485
115688570,12676112,50852436,99363567
73656521,45920808,-11492797,86432198
108049999,36730766,47466492,71056257
52595519,42983901,62149597,91392426
31810496,46935399,79454394,52472425
59805037,36943517,53435005,80434731
97382641,58542232,60218248,55496838
76470470,42223504,4156439,77293885
57976885,44227198,1783724,59169332
94622346,30992082,72413466,74364866
37661224,17655412,98759580,95206856
24971229,38617507,40008136,57049502
86944585,28139521,18605416,87403066
82459723,13532202,42859277,73271606
131223879,51059149,45454798,85064561
86374447,57680974,107284015,90693411
65379038,15908313,12777087,83897027
75216777,8169780,48165701,66084822
120892872,62787064,39831006,92085058
18998535,23848044,49089254,68710531
65789115,25511709,29018189,58462568
126098189,46567347,75342732,93194757
49301570,35371703,11034736,64938548
109301649,40502290,48760424,67242450
119259695,45199070,34761726,86502413
113457075,69195384,50078529,80810062
61571544,6908595,64702773,57686705
58831809,1720533,67944636,63376913
63080964,96984308,74699533,74118600
120033270,57085772,47688368,77666956
67240996,34868913,45768354,86100080
66975140,39691081,-22199710,96687200
93335712,62798591,55732263,51220583
117767401,59702364,45095573,80610454
67696641,62240122,11142544,67030705
-15276618,41382057,69849904,95508581
84507655,82771849,44556237,70959586
131162206,59782591,51050066,88131202
86188261,99519737,47047790,86896331
120213889,38356289,51983308,77077641
136798854,40877852,46759146,96365323
126743976,37054877,43020933,93871534
95971013,13123926,52063775,77986685
46310006,66335491,5955414,75749246
70818953,17353790,59533590,51319694
101506705,54707048,48028272,56421720
107059932,61690314,44770843,72215684
4749531,42873227,20036106,92987582
91186461,18120990,50951889,69316935
206800417,7718224,70458046,94653756
-16934847,50928124,50430671,79112110
91057617,59153069,46310805,52136470
82678060,-2359887,49971189,82270097
100762787,42848824,68753071,64987903
130220212,-7515186,-26643281,72332134
65931067,47218915,118207430,75240452
68144465,45817739,109256135,69903763
63711318,44331149,30239631,51556829
22528462,35756227,44781256,57580695
108569639,33910836,48601168,73260991
63996595,7390913,57162136,52088711
21341609,13708477,48214957,77381618
44020863,70020915,23924742,63754837
67233791,38640076,15744154,60052989
130279886,34057369,50313586,93112663
62355686,-5764012,57351584,63792318
86632750,31103979,27585617,75146562
70773946,35328624,23784488,58864172
-77202118,44296321,-29301566,60105851
20196870,44070348,44484505,51894670
141148779,38512646,52812713,97026782
136567747,45959019,53290656,84521496
99377438,44814725,37479825,64286465
93671439,52287409,40084001,54111114
64086472,48276755,39939394,52064400
62580531,20270133,30044979,59468792
134816870,54676108,47933948,89795341
112383800,50655611,36191254,75084424
71459340,24153628,38410327,56098725
71619615,19953953,40884906,57984110
71568267,34420616,47244733,74050864
75722668,645715,48735756,73544798
69624643,61247092,4101658,75006544
-10039597,-85861791,38835910,61743616
84237519,13424218,59245943,68380105
97199122,40618316,97079704,91981451
99412834,35898078,52277043,58441053
113116393,30765670,34592733,94961369
71872460,2898305,29976991,86200586
74194935,29672272,70113520,52957744
126517411,58853872,56953728,81678863
82667413,31882794,41444800,56543191
40029266,44007687,9741419,66868102
100697479,38102869,46480289,63317969
65986026,66403929,8611816,72014419
114016499,43734225,22427307,95058368
116614580,32992320,36160544,94665193
63759277,43024321,-12635732,80574328
26673557,29275495,89978611,85793792
80492915,16565845,21455515,89674962
67105410,700117,17552141,96056493
111315757,41382580,32750093,84386598
57834430,40116692,49876496,63902755
73882866,68910582,29427339,61602443
59699415,-29190027,49364296,86728486
62656781,121605792,50664272,81834463
93723959,47086560,68241706,53200056
114790555,13937200,53295247,94761458
101308035,36331659,34170769,78009194
65266317,23467455,20431957,68570455
127614544,61128584,43873224,93106052
23055537,31022451,30563015,76005580
82271797,18464217,49811863,61199056
45564160,35458666,29145062,50478798
118157913,36279063,61145748,81345608
73846257,65051046,490682,86642741
93528740,39325902,74927576,67451779
64704269,52785728,48737306,94531325
118775509,33533562,41138015,91307280
58701349,82559838,-4030430,93527865
109480215,23952784,40262345,92468580
77472509,39056269,28741885,56877842
61409676,60078498,49717924,52571153
67502249,36402170,7491979,70811453
64279063,77214931,38128369,51601805
148542507,43782878,53017405,98945568
60645727,28158686,-2206974,81897568
-7332498,31553489,47166842,89258544
-17742229,47372635,45224576,85791644
135674804,54060557,52356500,85615043
41311748,17417987,4106729,97810013
65298969,47807630,111846105,67658493
76244764,-4188253,31757861,95878495
71740426,76916576,45079823,51813497
33134382,51283866,51548707,88660641
-8777521,44983355,45301497,79139088
136556232,48394462,52865050,82500100
58302524,7285030,28930054,69290795
38038264,-11417741,46920929,87104918
127673855,52266072,59818451,79112137
65803464,22640356,21772670,68593800
131647630,38514788,67437075,98891031
98325410,12573156,38794004,94161663
26304056,28668296,46427158,59247038
